Period,Day,Cases_Spain,DeathsAccum_Spain,RecoveredAccum_Spain,Cases_Madrid,Deaths_Madrid,Deaths_Spain,Recovered_Spain,CasesAccum_Madrid,DeathsAccum_Madrid,Cases_VariationRate_Madrid,Deaths_VariationRate_Madrid,CasesAccum_VariationRate_Madrid,DeathsAccum_VariationRate_Madrid,CasesAccum_Spain,Cases_VariationRate_Spain,CasesAccum_VariationRate_Spain,Deaths_VariationRate_Spain,DeathsAccum_VariationRate_Spain,Recovered_VariationRate_Spain,RecoveredAccum_VariationRate_Spain
2020-01-31,0,1.0,,0.0,,,0.0,0.0,,,,,,,1.0,,,,,,
2020-02-01,1,0.0,,0.0,,,,0.0,,,,,,,1.0,,0.0,,,,
2020-02-02,2,0.0,,0.0,,,,0.0,,,,,,,1.0,,0.0,,,,
2020-02-03,3,0.0,,0.0,,,,0.0,,,,,,,1.0,,0.0,,,,
2020-02-04,4,0.0,,0.0,,,,0.0,,,,,,,1.0,,0.0,,,,
2020-02-05,5,0.0,,0.0,,,,0.0,,,,,,,1.0,,0.0,,,,
2020-02-06,6,0.0,,0.0,,,,0.0,,,,,,,1.0,,0.0,,,,
2020-02-07,7,0.0,,0.0,,,,0.0,,,,,,,1.0,,0.0,,,,
2020-02-08,8,0.0,,0.0,,,,0.0,,,,,,,1.0,,0.0,,,,
2020-02-09,9,1.0,,0.0,,,,0.0,,,,,,,2.0,,100.0,,,,
2020-02-10,10,0.0,,0.0,,,,0.0,,,,,,,2.0,,0.0,,,,
2020-02-11,11,0.0,,0.0,,,,0.0,,,,,,,2.0,,0.0,,,,
2020-02-12,12,0.0,,0.0,,,,0.0,,,,,,,2.0,,0.0,,,,
2020-02-13,13,0.0,1.0,0.0,,,,0.0,,,,,,,2.0,,0.0,,,,
2020-02-14,14,0.0,1.0,2.0,,,0.0,2.0,,,,,,,2.0,,0.0,,0.0,inf,inf
2020-02-15,15,0.0,1.0,2.0,,,0.0,0.0,,,,,,,2.0,,0.0,,0.0,-100.0,0.0
2020-02-16,16,0.0,1.0,2.0,,,0.0,0.0,,,,,,,2.0,,0.0,,0.0,,0.0
2020-02-17,17,0.0,1.0,2.0,,,0.0,0.0,,,,,,,2.0,,0.0,,0.0,,0.0
2020-02-18,18,0.0,1.0,2.0,,,0.0,0.0,,,,,,,2.0,,0.0,,0.0,,0.0
2020-02-19,19,0.0,1.0,2.0,,,0.0,0.0,,,,,,,2.0,,0.0,,0.0,,0.0
2020-02-20,20,0.0,1.0,2.0,,,0.0,0.0,,,,,,,2.0,,0.0,,0.0,,0.0
2020-02-21,21,0.0,1.0,2.0,,,0.0,0.0,,,,,,,2.0,,0.0,,0.0,,0.0
2020-02-22,22,0.0,1.0,2.0,,,0.0,0.0,,,,,,,2.0,,0.0,,0.0,,0.0
2020-02-23,23,0.0,1.0,2.0,,,0.0,0.0,,,,,,,2.0,,0.0,,0.0,,0.0
2020-02-24,24,0.0,1.0,2.0,,,0.0,0.0,,,,,,,2.0,,0.0,,0.0,,0.0
2020-02-25,25,3.0,1.0,2.0,,,0.0,0.0,,,,,,,5.0,,150.0,,0.0,,0.0
2020-02-26,26,5.0,1.0,2.0,,,0.0,0.0,,,,,,,10.0,,100.0,,0.0,,0.0
2020-02-27,27,7.0,1.0,2.0,2.0,,0.0,0.0,2.0,,,,,,17.0,,70.0,,0.0,,0.0
2020-02-28,28,16.0,1.0,2.0,1.0,,0.0,0.0,3.0,,-50.0,,50.0,,33.0,,94.11764705882352,,0.0,,0.0
2020-02-29,29,17.0,1.0,2.0,5.0,,0.0,0.0,8.0,,400.0,,166.66666666666666,,50.0,,51.515151515151516,,0.0,,0.0
2020-03-01,30,23.0,1.0,2.0,4.0,,0.0,0.0,12.0,,-19.999999999999996,,50.0,,73.0,,46.0,,0.0,,0.0
2020-03-02,31,46.0,1.0,3.0,18.0,,0.0,1.0,30.0,,350.0,,150.0,,119.0,,63.01369863013699,,0.0,inf,50.0
2020-03-03,32,31.0,1.0,3.0,17.0,,0.0,0.0,47.0,,-5.555555555555558,,56.666666666666664,,150.0,,26.050420168067223,,0.0,-100.0,0.0
2020-03-04,33,48.0,1.0,3.0,21.0,,0.0,0.0,68.0,,23.529411764705888,,44.6808510638298,,198.0,,32.00000000000001,,0.0,,0.0
2020-03-05,34,39.0,3.0,10.0,20.0,,2.0,7.0,88.0,,-4.761904761904767,,29.41176470588236,,237.0,inf,19.696969696969703,inf,200.0,inf,233.33333333333334
2020-03-06,35,128.0,5.0,10.0,47.0,,2.0,0.0,135.0,,135.0,,53.40909090909092,,365.0,0.0,54.00843881856541,0.0,66.66666666666667,-100.0,0.0
2020-03-07,36,65.0,8.0,30.0,37.0,,3.0,20.0,172.0,,-21.276595744680847,,27.407407407407412,,430.0,50.0,17.808219178082197,50.0,60.00000000000001,inf,200.0
