"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,215,"ESP","Spain",1,"Andalucía","Comunidad Autónoma","Autonomous Community",NA,"Andalousie|Andaluc¡a|Andalusien|Andaluzia"
2,215,"ESP","Spain",2,"Aragón","Comunidad Autónoma","Autonomous Community",NA,"Aragão|Aragó|Aragón|Aragona|Aragonien"
3,215,"ESP","Spain",3,"Cantabria","Comunidad Autónoma","Autonomous Community",NA,"Cantàbria|Cantábria|Cantabrie|Kantabrien"
4,215,"ESP","Spain",4,"Castilla-La Mancha","Comunidad Autónoma","Autonomous Community",NA,"Castela-La Mancha|Castela-Mancha|Castella-la Manxa|Castilha-La Mancha"
5,215,"ESP","Spain",5,"Castilla y León","Comunidad Autónoma","Autonomous Community",NA,"Castile and Leon|Castela e Leão|Castella i Lleó|Castile-Leon|Castilha-Leão|Castilla y León|Castille et Léon|Kastilien-León"
6,215,"ESP","Spain",6,"Cataluña","Comunidad Autónoma","Autonomous Community",NA,"Catalogna|Catalogne|Catalonia|Catalunha|Catalunya|Katalonien"
7,215,"ESP","Spain",7,"Ceuta y Melilla","Ciudades Autónomas","Autonomous City",NA,NA
8,215,"ESP","Spain",8,"Comunidad de Madrid","Comunidad Autónoma","Autonomous Community",NA,"Madrid|Communauté de Madrid| Community of Madrid|Comunidad de Madrid |Comunidade de Madrid|Comunitat de Madrid"
9,215,"ESP","Spain",9,"Comunidad Foral de Navarra","Comunidad Autónoma","Autonomous Community",NA,"Communauté forale de Navarre|Comunidade Foral de Navarra|Comunitat Foral|Navarra"
10,215,"ESP","Spain",10,"Comunidad Valenciana","Comunidad Autónoma","Autonomous Community",NA,"Valencia|Communauté de Valence|Comunidade Valenciana|Comunidad Valenciana|Comunitat Valenciana"
11,215,"ESP","Spain",11,"Extremadura","Comunidad Autónoma","Autonomous Community",NA,"Estremadura|Estrémadure"
12,215,"ESP","Spain",12,"Galicia","Comunidad Autónoma","Autonomous Community",NA,"Galice|Gal¡cia|Galicien|Galiza|Galizia"
13,215,"ESP","Spain",13,"Islas Baleares","Comunidad Autónoma","Autonomous Community",NA,"Balearic Islands|Balearen|Balearene|Baleares|Islas Baleares|Baleari|Îles Baléares|Ilhas Baleares|Illes Balears"
14,215,"ESP","Spain",14,"Islas Canarias","Comunidad Autónoma","Autonomous Community",NA,"Canarias|Canary Islands|Canárias|Ilhas Canárias|Canarie|Îles Canaries|Illes Canàries|Kanariøyene|Kanarische Inseln"
15,215,"ESP","Spain",15,"La Rioja","Comunidad Autónoma","Autonomous Community",NA,"Rioja"
16,215,"ESP","Spain",16,"País Vasco","Comunidad Autónoma","Autonomous Community",NA,"Basque Country|Baskenland|Basque Autonomous Community|Basque Provinces|CAV|Comunidad Autonoma Vasca"
17,215,"ESP","Spain",17,"Principado de Asturias","Comunidad Autónoma","Autonomous Community",NA,"Astúrias|Asturie|Asturien|Asturies|Astúries|Asturias"
18,215,"ESP","Spain",18,"Región de Murcia","Comunidad Autónoma","Autonomous Community",NA,"Murcia|Região de Múrcia|Regió de Múrcia|Région de Murcie|Region of Murcia"
