Censos de Población y Viviendas
Resultados por Comunidad Autónoma y Provincia
Población por sexo, edad (grupos quinquenales) y país de nacimiento
Unidades: personas

;Ambos sexos;;;;;;;;;;;;;;;;;;;;;;Hombres;;;;;;;;;;;;;;;;;;;;;;Mujeres;;;;;;;;;;;;;;;;;;;;;;
;Total;0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100 y más;Total;0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100 y más;Total;0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100 y más;
TOTAL;
    TOTAL NACIONAL;46.815.916;2.480.195;2.389.845;2.199.332;2.203.001;2.515.447;3.087.607;3.893.728;4.089.112;3.842.285;3.604.936;3.224.145;2.706.522;2.463.410;2.177.182;1.722.780;1.759.480;1.323.661;769.250;282.788;70.508;10.701;23.104.303;1.280.210;1.229.078;1.131.354;1.134.415;1.278.158;1.560.396;1.995.991;2.107.543;1.963.891;1.817.822;1.605.711;1.334.513;1.194.961;1.035.437;790.452;760.258;522.078;263.761;79.669;16.418;2.186;23.711.613;1.199.985;1.160.767;1.067.978;1.068.586;1.237.288;1.527.211;1.897.737;1.981.569;1.878.394;1.787.114;1.618.434;1.372.010;1.268.449;1.141.745;932.328;999.223;801.583;505.489;203.119;54.090;8.515;
    ANDALUCÍA;8.371.270;478.574;469.544;440.266;453.872;507.365;581.121;692.460;708.266;683.156;648.634;565.174;457.737;405.019;364.126;289.783;280.618;198.115;103.288;34.674;8.037;1.442;4.149.489;246.290;241.058;227.194;233.908;259.858;295.623;354.471;362.158;346.218;325.418;282.165;226.603;197.143;173.939;132.079;120.340;77.501;35.108;10.090;1.989;338;4.221.781;232.284;228.486;213.073;219.965;247.508;285.498;337.989;346.108;336.938;323.216;283.010;231.134;207.877;190.187;157.704;160.278;120.614;68.180;24.584;6.048;1.104;
    Almería;688.736;42.354;39.573;36.771;37.438;43.961;52.862;63.498;62.124;56.482;51.205;44.566;35.113;31.647;26.355;20.640;19.714;13.928;7.494;2.373;539;100;350.963;21.910;20.214;19.036;19.456;22.801;27.782;33.794;33.095;29.664;26.429;22.782;17.860;15.522;12.917;9.706;8.748;5.610;2.715;761;144;18;337.772;20.444;19.359;17.735;17.982;21.160;25.080;29.704;29.029;26.818;24.776;21.784;17.254;16.125;13.438;10.935;10.966;8.318;4.779;1.612;394;82;
    Cádiz;1.244.732;72.409;73.067;67.098;67.941;76.968;86.917;102.469;106.180;103.504;97.219;86.193;70.005;60.589;53.665;41.128;37.478;24.544;12.268;4.033;877;178;620.133;37.027;37.434;34.805;35.127;39.335;44.099;51.963;54.277;52.745;49.312;43.304;35.095;29.906;26.135;18.753;16.126;9.378;3.944;1.140;194;34;624.599;35.382;35.633;32.293;32.814;37.632;42.819;50.505;51.903;50.759;47.907;42.889;34.910;30.683;27.530;22.376;21.352;15.167;8.324;2.894;683;145;
    Córdoba;802.575;41.165;42.299;41.646;45.409;50.472;53.596;59.713;60.719;62.453;63.323;56.466;45.127;38.305;35.539;29.886;32.115;24.883;13.594;4.645;1.043;179;394.487;21.269;21.777;21.436;23.493;25.996;27.458;30.586;30.849;31.372;31.582;28.224;22.353;18.543;16.601;13.265;13.607;9.799;4.618;1.384;237;39;408.088;19.896;20.522;20.210;21.915;24.476;26.138;29.127;29.870;31.081;31.741;28.242;22.774;19.762;18.938;16.621;18.508;15.083;8.976;3.261;806;141;
    Granada;922.100;50.329;50.668;49.172;50.218;57.042;63.471;74.318;74.406;72.822;71.553;63.546;50.019;44.028;39.856;32.910;34.575;24.963;13.088;4.020;926;171;457.840;26.202;26.161;25.633;25.848;29.194;32.396;38.382;38.325;36.946;35.965;31.730;24.707;21.166;19.011;14.918;15.089;10.043;4.642;1.190;251;40;464.260;24.127;24.507;23.538;24.369;27.847;31.075;35.936;36.081;35.876;35.588;31.816;25.312;22.862;20.845;17.992;19.487;14.920;8.446;2.829;675;130;
    Huelva;519.895;30.076;28.350;26.608;27.684;31.650;37.165;44.862;45.647;43.419;39.109;34.574;27.546;25.199;21.979;17.132;17.653;12.053;6.220;2.343;542;84;257.808;15.621;14.514;13.617;14.419;16.129;18.659;22.900;23.221;21.786;19.582;17.382;13.856;12.662;10.652;7.799;7.441;4.684;2.098;641;126;16;262.087;14.455;13.835;12.991;13.265;15.520;18.506;21.962;22.426;21.632;19.527;17.192;13.690;12.537;11.327;9.333;10.212;7.369;4.122;1.702;416;67;
    Jaén;667.484;32.797;34.287;35.660;40.664;43.957;45.215;48.371;49.079;51.434;52.736;47.038;36.328;30.445;27.532;26.261;28.241;21.900;11.019;3.604;802;115;333.860;16.952;17.679;18.477;20.977;22.875;23.944;25.691;25.660;26.421;26.683;23.975;18.430;14.846;12.675;11.669;12.320;9.087;4.131;1.114;223;31;333.623;15.845;16.608;17.183;19.687;21.082;21.271;22.680;23.419;25.013;26.053;23.063;17.897;15.598;14.856;14.591;15.921;12.813;6.888;2.491;579;85;
